hours_since_start,mbps,sweep,wall
0.000,115.5,m2,2026-09-07 00:07:52
0.160,116.5,m2,2026-09-07 00:17:26
0.319,126.6,m2,2026-09-07 00:27:00
0.479,116.7,m2,2026-09-07 00:36:35
0.638,251.6,m2,2026-09-07 00:46:09
0.797,272.1,m2,2026-09-07 00:55:43
1.116,212.3,m2,2026-09-07 01:14:49
1.275,209.0,m2,2026-09-07 01:24:23
1.435,214.7,m2,2026-09-07 01:33:57
1.594,202.8,m2,2026-09-07 01:43:30
1.753,212.6,m2,2026-09-07 01:53:04
1.913,211.3,m2,2026-09-07 02:02:38
2.072,185.4,m2,2026-09-07 02:12:11
2.232,254.9,m2,2026-09-07 02:21:45
2.391,253.1,m2,2026-09-07 02:31:19
2.550,245.2,m2,2026-09-07 02:40:53
2.709,249.5,m2,2026-09-07 02:50:26
2.869,260.2,m2,2026-09-07 02:59:59
3.028,187.0,m2,2026-09-07 03:09:32
3.187,170.5,m2,2026-09-07 03:19:05
3.346,275.5,m2,2026-09-07 03:28:39
3.506,260.1,m2,2026-09-07 03:38:12
3.665,288.3,m2,2026-09-07 03:47:46
3.824,276.1,m2,2026-09-07 03:57:20
3.984,245.9,m2,2026-09-07 04:06:53
4.143,227.3,m2,2026-09-07 04:16:27
4.303,218.4,m2,2026-09-07 04:26:01
4.462,224.1,m2,2026-09-07 04:35:34
4.571,216.7,m2,2026-09-07 04:42:08
4.681,220.0,m2,2026-09-07 04:48:42
4.790,183.5,m2,2026-09-07 04:55:15
4.899,206.0,m2,2026-09-07 05:01:49
5.009,194.8,m2,2026-09-07 05:08:22
5.118,191.0,m2,2026-09-07 05:14:55
5.227,196.8,m2,2026-09-07 05:21:29
5.436,195.1,m2,2026-09-07 05:34:03
5.646,195.7,m2,2026-09-07 05:46:37
5.855,177.8,m2,2026-09-07 05:59:10
6.065,199.9,m2,2026-09-07 06:11:44
6.274,181.2,m2,2026-09-07 06:24:17
6.483,153.6,m2,2026-09-07 06:36:51
6.707,151.0,m3,2026-09-07 06:50:16
6.816,149.4,m3,2026-09-07 06:56:50
6.926,154.1,m3,2026-09-07 07:03:23
7.035,170.3,m3,2026-09-07 07:09:57
7.144,168.5,m3,2026-09-07 07:16:30
7.253,142.2,m3,2026-09-07 07:23:03
7.362,166.1,m3,2026-09-07 07:29:36
7.472,153.9,m3,2026-09-07 07:36:09
7.608,150.8,m3,2026-09-07 07:44:19
7.743,156.3,m3,2026-09-07 07:52:28
7.880,106.2,m3,2026-09-07 08:00:41
8.016,92.0,m3,2026-09-07 08:08:49
8.287,126.1,m3,2026-09-07 08:25:06
8.401,125.3,m3,2026-09-07 08:31:54
8.514,129.3,m3,2026-09-07 08:38:44
8.628,126.1,m3,2026-09-07 08:45:32
8.741,135.8,m3,2026-09-07 08:52:21
8.855,156.9,m3,2026-09-07 08:59:09
8.968,134.6,m3,2026-09-07 09:05:58
9.082,137.5,m3,2026-09-07 09:12:47
9.191,150.5,m3,2026-09-07 09:19:21
9.301,132.9,m3,2026-09-07 09:25:54
9.410,131.7,m3,2026-09-07 09:32:28
9.520,135.3,m3,2026-09-07 09:39:02
9.629,119.8,m3,2026-09-07 09:45:35
9.738,131.7,m3,2026-09-07 09:52:09
9.847,119.2,m3,2026-09-07 09:58:42
10.017,110.5,m3,2026-09-07 10:08:51
10.186,115.5,m3,2026-09-07 10:19:00
10.355,208.6,m3,2026-09-07 10:29:10
