time_s,latency_s,throughput_krec_s
-25.0,0.0529,32.765
-24.0,0.0538,35.845
-23.0,0.0515,29.871
-22.0,0.1644,37.002
-21.0,0.1213,33.674
-20.0,0.0581,21.011
-19.0,0.0534,33.238
-18.0,0.0566,33.639
-17.0,0.0503,33.139
-16.0,0.05,33.052
-15.0,0.0666,32.815
-14.0,0.1278,30.483
-13.0,0.179,25.384
-12.0,0.1578,30.571
-11.0,0.154,26.589
-10.0,2.5676,1.42
-9.0,3.6757,1.444
-8.0,4.3432,1.465
-7.0,5.156,1.482
-6.0,5.9043,1.487
-5.0,6.698,1.431
-4.0,7.5459,1.473
-3.0,7.9537,1.449
-2.0,9.0277,1.451
-1.0,9.6645,1.387
2.0,89.5246,19.232
3.0,89.8913,80.266
4.0,87.72,105.726
5.0,89.0319,109.017
6.0,84.5635,114.181
7.0,80.0849,110.189
8.0,80.2657,109.024
9.0,76.925,109.152
10.0,71.5405,111.388
11.0,70.4592,98.443
12.0,71.3776,99.441
13.0,67.2063,99.027
14.0,65.0909,113.259
15.0,66.2647,61.359
16.0,63.9838,96.688
17.0,61.6819,101.166
18.0,60.3833,111.334
19.0,59.3175,109.738
20.0,55.0495,110.195
21.0,50.6807,104.405
22.0,52.4842,112.634
23.0,48.495,86.813
24.0,42.9948,96.594
25.0,44.342,97.134
26.0,45.1892,95.656
27.0,38.7242,108.113
28.0,34.0776,109.16
29.0,38.6492,111.758
30.0,30.9456,113.625
31.0,25.4009,94.411
32.0,30.5887,82.561
33.0,27.7603,47.591
34.0,25.6999,51.848
35.0,23.8186,87.664
36.0,23.162,108.701
37.0,23.9074,113.43
38.0,18.5201,112.442
39.0,18.5069,114.164
40.0,17.2836,106.973
41.0,13.997,92.968
42.0,11.9912,102.131
43.0,11.8524,107.916
44.0,8.5759,98.769
45.0,6.6453,82.829
46.0,9.3061,90.002
47.0,6.7844,97.345
48.0,0.4542,35.315
49.0,0.0755,34.857
50.0,0.0836,26.389
51.0,0.1469,35.028
52.0,0.078,34.429
53.0,0.0545,20.707
54.0,0.131,38.423
