run_id,keys,backend,ckpt_gap_s,ckpt_dur_s,lambda_meas,mu_drain,ckpt_age_s,D_eff_s,peak_lat_s,A_geo_rec_s,A_measured_rec_s,ratio_measured_over_geo,run_saturated,run_unstable,run_overloaded,in_figure3
cal_f_c14_2,100000,rocksdb,14.21,4.56,58277.0,103946.5,3.668,7.854,11.522,8805182.3,10683864.5,1.2134,0,0,0,1
cal_f_c14_3,100000,rocksdb,13.9,3.77,58277.0,118422.0,2.832,192.411,195.243,2187006479.8,478764229.8,0.2189,0,0,1,0
m10_p1024_k200k_s32000_r50_c20_m55_inc_0,200000,rocksdb,20.88,9.8,54462.0,94782.0,11.039,49.319,60.358,233202843.1,36835506.1,0.158,0,1,0,0
m10_p1024_k200k_s32000_r50_c20_m55_inc_0,200000,rocksdb,20.88,9.8,54462.0,83175.0,11.941,58.831,70.772,395093943.6,84716504.5,0.2144,0,1,0,0
m10_p1024_k200k_s32000_r50_c20_m55_una_0,200000,rocksdb,20.36,8.45,54447.5,85537.0,15.965,12.71,28.675,61587507.1,22031392.9,0.3577,0,1,0,0
m10_p1024_k200k_s32000_r50_c20_m55_una_0,200000,rocksdb,20.36,8.45,54447.5,99133.0,2.316,22.202,24.518,36305123.2,10655717.2,0.2935,0,1,0,0
m10_p1024_k200k_s32000_r50_c20_m55_una_0,200000,rocksdb,20.36,8.45,54447.5,106201.0,6.151,21.677,27.828,43260005.0,16166616.8,0.3737,0,1,0,0
m10_p1024_k200k_s32000_r50_c20_m55_una_0,200000,rocksdb,20.36,8.45,54447.5,83822.0,9.463,23.119,32.582,82468045.8,21024509.9,0.2549,0,1,0,0
m10_p1024_k200k_s32000_r50_c32_m55_0,200000,rocksdb,36.19,9.37,54462.0,102310.5,55.957,150.481,206.438,2481393562.9,146635805.0,0.0591,0,1,0,0
m10_p1024_k200k_s32000_r50_c32_m55_inc_0,200000,rocksdb,44.23,7.93,54556.0,96534.0,28.121,171.489,199.61,2499405153.1,493561972.6,0.1975,0,1,0,0
m10_p1024_k200k_s32000_r50_c32_m55_una_0,200000,rocksdb,32.98,7.7,54462.0,102219.0,10.554,31.983,42.537,105462917.4,8468067.7,0.0803,0,1,0,0
m10_p1024_k200k_s32000_r50_c32_m55_una_0,200000,rocksdb,32.98,7.7,54462.0,91614.0,22.391,49.538,71.929,347421386.6,192049374.2,0.5528,0,1,0,0
m10_p1024_k200k_s32000_r50_c32_m55_una_0,200000,rocksdb,32.98,7.7,54462.0,93262.0,59.53,11.23,70.76,327731122.5,182981415.6,0.5583,0,1,0,0
m10_p1024_k200k_s32000_r50_c48_m55_0,200000,rocksdb,47.3,8.74,54462.0,89166.5,14.281,115.91,130.191,1185886699.6,84865018.4,0.0716,0,1,0,0
m10_p1024_k200k_s32000_r50_c48_m55_0,200000,rocksdb,47.3,8.74,54462.0,88996.5,24.281,133.703,157.984,1751497674.5,417227458.8,0.2382,0,1,0,0
m10_p1024_k200k_s32000_r50_c48_m55_inc_0,200000,rocksdb,48.95,10.19,54462.0,92932.0,65.249,52.193,117.442,907301542.8,287708944.0,0.3171,0,1,0,0
m10_p1024_k200k_s32000_r50_c48_m55_inc_0,200000,rocksdb,48.95,10.19,54462.0,104028.5,20.944,89.881,110.825,701946511.3,228930113.6,0.3261,0,1,0,0
