label,held_out,cores_b,sigma,k_meas,k_v1,k_v4,k_v6
10gbit_native,True,1,0.001,142.11569118651786,1.1383319534303677,1075.4522200160122,234.20452569507592
10gbit_native,True,1,0.1,11.434791881420393,1.1317742903166856,10.754522200160123,10.381621005848675
10gbit_native,True,1,1.0,1.243751025652315,1.0754522200160124,1.0754522200160124,1.0716030901746434
10gbit_native,True,2,0.001,152.2537878787879,1.2991070315845623,1152.7879213545175,138.49116808367626
10gbit_native,True,2,0.1,11.839668660837553,1.2829694791840873,11.527879213545177,10.74120323161762
10gbit_native,True,2,1.0,1.2932016862304463,1.1527879213545176,1.1527879213545176,1.1444063927369372
10gbit_native,True,4,0.001,173.78543046357612,1.7200503008452859,1316.8714166719305,81.07789140071364
10gbit_native,True,4,0.1,11.93338281684914,1.669399717736793,13.168714166719305,11.427004130402912
10gbit_native,True,4,1.0,1.248993470513669,1.3168714166719309,1.3168714166719309,1.2971009353503715
10gbit_native,True,8,0.001,147.32394366197184,3.447293576436872,1688.504433605336,49.406330895763006
10gbit_native,True,8,0.1,11.061677209022129,3.124744508974952,16.885044336053365,12.678756369785084
10gbit_native,True,8,1.0,1.274968091735509,1.6885044336053365,1.6885044336053365,1.6342855844773951
10gbit_full,False,1,0.001,119.79847908745249,1.1377725401881538,1075.4921639854208,234.11627536283328
10gbit_full,False,1,0.01,54.75780037924496,1.1371792735408537,107.54921639854207,79.11615471732217
10gbit_full,False,1,0.05,22.0108123288633,1.1345500009870797,21.50984327970841,20.067459447258678
10gbit_full,False,1,0.1,11.020733088027173,1.1312804586096696,10.754921639854205,10.381816025128314
10gbit_full,False,1,0.25,5.019145112135656,1.1215839282320235,4.301968655941683,4.241002754183307
10gbit_full,False,1,0.5,2.5729308568960363,1.1057872273061178,2.1509843279708414,2.135634083550328
10gbit_full,False,1,1.0,1.3033420411078946,1.0754921639854207,1.0754921639854207,1.0716408606958274
10gbit_full,False,2,0.001,156.9833249115715,1.2978928177378368,1152.9529356295623,138.37949400295048
10gbit_full,False,2,0.01,67.98295454545455,1.2964245657505917,115.29529356295626,66.52232620389469
10gbit_full,False,2,0.05,17.251600794877458,1.2899389917249566,23.05905871259125,20.110175294903677
10gbit_full,False,2,0.1,11.508580504816823,1.2819227090537986,11.529529356295624,10.74194906412228
10gbit_full,False,2,0.25,5.0463660865195745,1.2584607229815448,4.611811742518251,4.480413416694375
10gbit_full,False,2,0.5,2.698723826669246,1.2212093901456627,2.3059058712591254,2.272581556728277
10gbit_full,False,2,1.0,1.3288875922143961,1.1529529356295627,1.1529529356295627,1.1445612196162518
10gbit_full,False,4,0.001,138.80794701986756,1.7171226747447597,1317.5844723989096,80.95084509934219
10gbit_full,False,4,0.01,62.0996778472617,1.7124445329868683,131.75844723989098,52.12716050463333
10gbit_full,False,4,0.05,18.710708577517313,1.6919575037456673,26.351689447978192,20.184713549828025
10gbit_full,False,4,0.1,10.862140059102467,1.6670279011376525,13.175844723989096,11.429789773106016
10gbit_full,False,4,0.25,4.939376443418014,1.5964603111452134,5.2703378895956385,4.9668372663539495
10gbit_full,False,4,0.5,2.623134235585649,1.491249249077209,2.6351689447978193,2.5570443249774315
10gbit_full,False,4,1.0,1.285068686819159,1.3175844723989096,1.3175844723989096,1.2977594419852676
10gbit_full,False,8,0.001,169.97369805365597,3.4373504317821038,1691.8856847683583,49.27038048988875
10gbit_full,False,8,0.01,47.21394517282479,3.4056968344836895,169.18856847683585,39.038591972348264
10gbit_full,False,8,0.05,21.252393718881653,3.2717901712232065,33.837713695367164,20.301296732989385
10gbit_full,False,8,0.1,12.584210327788467,3.118520973268617,16.918856847683582,12.688622511943478
10gbit_full,False,8,0.25,4.881701523844777,2.7342567209560666,6.767542739073433,5.971246054729821
10gbit_full,False,8,0.5,2.6596158069911637,2.2684023689868167,3.3837713695367166,3.1722531502025793
10gbit_full,False,8,1.0,1.3868372943327238,1.6918856847683583,1.6918856847683583,1.637300067176228
1gbit_10ms,True,1,0.001,68.36599336750075,1.518027080855923,1055.5095029532902,241.94181730247522
1gbit_10ms,True,1,0.1,9.504709048099564,1.4548507717203651,10.555095029532898,10.211710101437681
1gbit_10ms,True,1,1.0,1.135696051453768,1.0555095029532902,1.0555095029532902,1.0519720801952237
1gbit_10ms,True,2,0.001,51.94926164331692,2.1228731516475574,1088.1872404825326,170.58337902727865
1gbit_10ms,True,2,0.1,9.628884136369356,1.9400667942157728,10.881872404825325,10.326393962053187
1gbit_10ms,True,2,1.0,1.1258914805378977,1.0881872404825328,1.0881872404825328,1.082364971729117
1gbit_10ms,True,4,0.001,68.88653341409247,3.7039423797146824,1125.517712930955,129.62487625442066
1gbit_10ms,True,4,0.1,9.316234652114598,3.01863883981075,11.255177129309553,10.452150566949777
1gbit_10ms,True,4,1.0,1.123471252826152,1.1255177129309553,1.1255177129309553,1.116936420417827
1gbit_10ms,True,8,0.001,54.67232815253966,10.153158429056669,1159.4401555034312,107.59220774472948
1gbit_10ms,True,8,0.1,9.559837642729736,5.740442219080761,11.594401555034311,10.561849144413097
1gbit_10ms,True,8,1.0,1.1285069152292806,1.1594401555034313,1.1594401555034313,1.1482149233419294
1gbit_50ms,True,1,0.001,30.569327621336395,1.64830827296443,1050.8917745220967,156.29605600186486
1gbit_50ms,True,1,0.1,7.581049897640025,1.5604009352488186,10.508917745220966,9.93998054578652
1gbit_50ms,True,1,1.0,1.066514248745499,1.050891774522097,1.050891774522097,1.0449109908569973
1gbit_50ms,True,2,0.001,30.777057304022353,2.4053553510477093,1077.00934619654,110.79072670236263
1gbit_50ms,True,2,0.1,7.52346172220423,2.143379897238699,10.7700934619654,9.906165426823932
1gbit_50ms,True,2,1.0,1.0706988279312102,1.0770093461965402,1.0770093461965402,1.067697831098598
1gbit_50ms,True,4,0.001,30.858234015934684,4.383187309893521,1103.9646913200347,86.14863568615752
1gbit_50ms,True,4,0.1,7.527671260938871,3.3863624440957576,11.039646913200349,9.873166731663158
1gbit_50ms,True,4,1.0,1.0721420674103184,1.103964691320035,1.103964691320035,1.091074032526134
1gbit_50ms,True,8,0.001,30.977474384704767,12.434492703898334,1126.159604631882,73.30882832347667
1gbit_50ms,True,8,0.1,7.565231456021739,6.232504365947387,11.261596046318822,9.847335921498479
1gbit_50ms,True,8,1.0,1.0703649099798123,1.1261596046318822,1.1261596046318822,1.110214859591997
1gbit_150ms,True,1,0.001,26.6104532839963,2.6495913024793687,1031.0302128121596,121.07890643383276
1gbit_150ms,True,1,0.1,7.1377755585328595,2.292885781372044,10.310302128121599,9.58960871927196
1gbit_150ms,True,1,1.0,1.0313569740425426,1.0310302128121596,1.0310302128121596,1.0233394506684408
1gbit_150ms,True,2,0.001,26.772391171401566,4.573512719107557,1038.9868785017636,98.87753734217702
1gbit_150ms,True,2,0.1,7.202084620097583,3.4204080622095088,10.389868785017638,9.487787494349197
1gbit_150ms,True,2,1.0,1.0246450933548916,1.0389868785017637,1.0389868785017637,1.029201421698515
1gbit_150ms,True,4,0.001,26.711117284808076,9.578666030194068,1044.7890726208284,87.35137044623775
1gbit_150ms,True,4,0.1,7.165167831508772,5.293703250364948,10.447890726208284,9.415842508805955
1gbit_150ms,True,4,1.0,1.0246966128872415,1.0447890726208282,1.0447890726208282,1.0334615451643818
1gbit_150ms,True,8,0.001,26.616664356023847,29.642098965778416,1048.4101868247344,81.47712919049644
1gbit_150ms,True,8,0.1,7.1329240328426655,8.00539065799492,10.484101868247345,9.371889205029738
1gbit_150ms,True,8,1.0,1.0314074671451376,1.0484101868247346,1.0484101868247346,1.036114062155983
500mbit_50ms,True,1,0.001,31.91425436304734,1.966736105238936,1042.2894208160114,181.07150687110047
500mbit_50ms,True,1,0.1,7.425225828036133,1.8078366419116645,10.422894208160116,9.949665150036429
500mbit_50ms,True,1,1.0,1.0717156137719022,1.0422894208160116,1.0422894208160116,1.0373555183430918
500mbit_50ms,True,2,0.001,32.10935652539478,3.0954237125959736,1058.788417032181,138.2656260059084
500mbit_50ms,True,2,0.1,7.6544151193385295,2.5998367534982285,10.587884170321809,9.926981461162223
500mbit_50ms,True,2,1.0,1.0712448740893141,1.058788417032181,1.058788417032181,1.0517860042405556
500mbit_50ms,True,4,0.001,32.04326796698386,6.040220903752274,1073.22063602347,115.14173143307586
500mbit_50ms,True,4,0.1,7.565035389407328,4.140986137335411,10.732206360234699,9.907792254910019
500mbit_50ms,True,4,1.0,1.0738046788817446,1.07322063602347,1.07322063602347,1.0643642042312504
500mbit_50ms,True,8,0.001,32.047793246835276,17.968894382965345,1083.526849069932,103.10863731651726
500mbit_50ms,True,8,0.1,7.567493864194165,7.0623242096554915,10.835268490699319,9.894445773600829
500mbit_50ms,True,8,1.0,1.076068973511446,1.0835268490699321,1.0835268490699321,1.0733210743094583
100mbit_50ms,True,1,0.001,113.56394023803496,5.413371197381452,1014.9089261091907,379.1521010612785
100mbit_50ms,True,1,0.1,9.457439779446377,3.7869498677493056,10.149089261091907,9.981717252569295
100mbit_50ms,True,1,1.0,1.0194962649639192,1.0149089261091906,1.0149089261091906,1.0132099900764093
100mbit_50ms,True,2,0.001,113.04698935042649,10.531863188765799,1016.4640905306832,354.84661537112873
100mbit_50ms,True,2,0.1,9.454667683839181,5.463452211642303,10.164640905306834,9.978588447475992
100mbit_50ms,True,2,1.0,1.019484430956353,1.0164640905306832,1.0164640905306832,1.014572403241804
100mbit_50ms,True,4,0.001,114.18966395112018,23.69450264569436,1017.3800022266389,341.9671912050785
100mbit_50ms,True,4,0.1,9.420550736205339,7.384014028475596,10.173800022266391,9.976751132760516
100mbit_50ms,True,4,1.0,1.0200333427087929,1.0173800022266388,1.0173800022266388,1.0153745555042322
100mbit_50ms,True,8,0.001,112.9043719289404,74.3308166122151,1017.8799372031317,335.33300760162217
100mbit_50ms,True,8,0.1,9.451240331317049,9.134214272604998,10.17879937203132,9.97574994530359
100mbit_50ms,True,8,1.0,1.0192073155475856,1.0178799372031317,1.0178799372031317,1.015812322128555
