ts,label,dataset,sigma_target,sigma_true,sigma_hat,pi_hat,cores_b,plan,K,setup_s,setup_bytes,pq_s_med,pq_s_p90,pq_bytes,rows,total_s,total_usd,pred_setup_s,pred_pq_s,pred_kstar_time,pred_kstar_cost
2026-09-05T08:54:20,10gbit_native,synth,0.001,0.001,0.001004,0.239041,8,FULL_SHIP,20,2.497,2008410211,0.00446,0.00781,0,40000,2.607,0.168343,2.3702,0.18855,inf,996.5
2026-09-05T08:54:23,10gbit_native,synth,0.001,0.001,0.001004,0.239041,8,FULL_SHIP,20,2.0789,2008410211,0.00437,0.00466,0,40000,2.169,0.168343,2.3702,0.18855,inf,996.5
2026-09-05T08:54:28,10gbit_native,synth,0.1,0.1,0.100352,0.239041,8,FULL_SHIP,20,2.2775,2008410211,0.08377,0.09052,0,4000000,4.004,0.168343,2.3702,0.18855,inf,10.0
2026-09-05T08:54:32,10gbit_native,synth,0.1,0.1,0.100352,0.239041,8,FULL_SHIP,20,2.2468,2008410211,0.08573,0.0883,0,4000000,3.976,0.168343,2.3702,0.18855,inf,10.0
2026-09-05T08:54:53,10gbit_native,synth,1.0,1.0,1.0,0.239041,8,FULL_SHIP,20,3.1238,2008410211,0.83794,0.85856,0,40000000,19.927,0.168343,2.3702,0.18855,1.4,1.0
2026-09-05T08:55:11,10gbit_native,synth,1.0,1.0,1.0,0.239041,8,FULL_SHIP,20,2.1992,2008410211,0.82487,0.85685,0,40000000,18.195,0.168343,2.3702,0.18855,1.4,1.0
2026-09-05T08:55:15,10gbit_native,synth,0.001,0.001,0.001004,0.239041,1,PROJECT_ONLY,20,3.1014,501565117,0.0048,0.00523,0,40000,3.202,0.042041,1.3761,0.18855,2.2,996.5
2026-09-05T08:55:19,10gbit_native,synth,0.001,0.001,0.001004,0.239041,1,PROJECT_ONLY,20,3.1389,501565117,0.00463,0.00504,0,40000,3.235,0.042041,1.3761,0.18855,2.2,996.5
2026-09-05T08:55:25,10gbit_native,synth,0.1,0.1,0.100352,0.239041,1,PROJECT_ONLY,20,3.265,501565117,0.08873,0.08975,0,4000000,5.038,0.042041,1.3761,0.18855,2.0,10.0
2026-09-05T08:55:30,10gbit_native,synth,0.1,0.1,0.100352,0.239041,1,PROJECT_ONLY,20,3.1689,501565117,0.08801,0.08963,0,4000000,4.934,0.042041,1.3761,0.18855,2.0,10.0
2026-09-05T08:55:48,10gbit_native,synth,1.0,1.0,1.0,0.239041,1,PROJECT_ONLY,20,3.1425,501565117,0.65098,0.88185,0,40000000,17.341,0.042041,1.3761,0.18855,1.2,1.0
2026-09-05T08:56:06,10gbit_native,synth,1.0,1.0,1.0,0.239041,1,PROJECT_ONLY,20,3.0723,501565117,0.65312,0.87119,0,40000000,17.163,0.042041,1.3761,0.18855,1.2,1.0
2026-09-05T08:56:09,10gbit_native,synth,0.001,0.001,0.001004,0.239041,2,PROJECT_ONLY,20,3.1502,501565117,0.0046,0.00509,0,40000,3.246,0.042041,0.9713,0.18855,4.5,996.5
2026-09-05T08:56:13,10gbit_native,synth,0.001,0.001,0.001004,0.239041,2,PROJECT_ONLY,20,3.281,501565117,0.00486,0.0058,0,40000,3.384,0.042041,0.9713,0.18855,4.5,996.5
